rank,actor1,actor2,actor3,actor4
384,Colin Firth, Helena Bonham Carter, Derek Jacobi, Robert Portal
385,Steve Martin, Bonnie Hunt, Piper Perabo, Tom Welling
386,Martin Lawrence, Will Smith, Jordi Mollš, Gabrielle Union
387,Tom Berenger, Keith David, Willem Dafoe, Forest Whitaker
388,Jonah Hill, Channing Tatum, Brie Larson, Dave Franco
389,Matt Damon, Ben Affleck, Stellan Skarsgërd, John Mighton
390,James McAvoy, Anya Taylor-Joy, Betty Buckley, Haley Lu Richardson
391,Jim Carrey, Steve Valentine, Daryl Sabara, Sage Ryan
392,D.B. Sweeney, Alfre Woodard, Ossie Davis, Max Casella
393,Vera Farmiga, Patrick Wilson, Lili Taylor, Ron Livingston
394,Adam Sandler, Kate Beckinsale, Christopher Walken, David Hasselhoff
395,Tom Hanks, David Morse, Michael Clarke Duncan, Bonnie Hunt
396,Mel Gibson, Rene Russo, Brawley Nolte, Gary Sinise
397,Aaron Taylor-Johnson, CJ Adams, Ken Watanabe, Bryan Cranston
398,Glenn Close, Jeff Daniels, Joely Richardson, Joan Plowright
399,Ben Affleck, Bryan Cranston, Alan Arkin, John Goodman
400,Adam Sandler, Jack Nicholson, Marisa Tomei, Luis Guzmˆn
401,Zach Braff, Garry Marshall, Don Knotts, Patrick Stewart
402,Megan Fox, Will Arnett, William Fichtner, Alan Ritchson
403,Richard Dreyfuss, Franois Truffaut, Teri Garr, Melinda Dillon
404,Robin Williams, Daniel London, Monica Potter, Philip Seymour Hoffman
405,Marlon Brando, Al Pacino, James Caan, Richard S. Castellano
406,Ice Cube, Kevin Hart, John Leguizamo, Bruce McGill
407,Edward Norton, Liv Tyler, Tim Roth, William Hurt
408,Bruce Willis, Timothy Olyphant, Justin Long, Maggie Q
409,James McAvoy, Morgan Freeman, Angelina Jolie, Terence Stamp
410,Jason Bateman, Melissa McCarthy, Jon Favreau, Amanda Peet
411,Marlon Brando, Gene Hackman, Christopher Reeve, Ned Beatty
412,Sean Connery, Nicolas Cage, Ed Harris, John Spencer
413,Tom Cruise, Philip Seymour Hoffman, Ving Rhames, Billy Crudup
414,Adam Sandler, Kevin James, Chris Rock, David Spade
415,Julian Glover, Brian Cox, Nathan Jones, Adoni Maropis
416,Tom Hanks, Ewan McGregor, Ayelet Zurer, Stellan Skarsgërd
417,Jason Lee, David Cross, Jenny Slate, Justin Long
418,Steve Martin, Queen Latifah, Eugene Levy, Joan Plowright
419,Hugh Jackman, Tao Okamoto, Rila Fukushima, Hiroyuki Sanada
420,Jacob Tremblay, Owen Wilson, Izabela Vidovic, Julia Roberts
421,Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg
422,Eric Bana, Jennifer Connelly, Sam Elliott, Josh Lucas
423,Bradley Cooper, Jennifer Lawrence, Robert De Niro, Jacki Weaver
424,Tom Cruise, Max von Sydow, Steve Harris, Neal McDonough
425,Ioan Gruffudd, Jessica Alba, Chris Evans, Michael Chiklis
426,Noah Ringer, Dev Patel, Nicola Peltz, Jackson Rathbone
427,Jake T. Austin, Carlinhos Brown, Kristin Chenoweth, Jemaine Clement
428,Angelina Jolie, Jon Voight, Iain Glen, Noah Taylor
429,Jodie Foster, Lawrence A. Bonney, Kasi Lemmons, Lawrence T. Wrentz
430,Rick Moranis, Matt Frewer, Marcia Strassman, Kristine Sutherland
431,John Goodman, Elizabeth Perkins, Rick Moranis, Rosie O'Donnell
432,Mel Gibson, Danny Glover, Joe Pesci, Rene Russo
433,Steve Carell, Anne Hathaway, Dwayne Johnson, Alan Arkin
434,Kate Winslet, Jai Courtney, Mekhi Phifer, Shailene Woodley
435,Trombone Shorty, Rebecca Bloom, Anastasia Bredikhina, Francesca Capaldi
436,Mark Wahlberg, Anthony Hopkins, Josh Duhamel, Laura Haddock
437,Denzel Washington, Russell Crowe, Chiwetel Ejiofor, Josh Brolin
438,Kevin Spacey, Annette Bening, Thora Birch, Wes Bentley
439,Richard Gere, Debra Winger, David Keith, Robert Loggia
440,Naomi Watts, Martin Henderson, David Dorfman, Brian Cox
441,Eddie Murphy, Jada Pinkett Smith, James Coburn, Larry Miller
442,Sacha Baron Cohen, Ken Davitian, Luenell, Chester
443,Mike Stoklasa, Jack Packard, Rich Evans, 
444,Adrian Quinton, Colin Firth, Mark Strong, Jonno Davies
445,Paula Abdul, Halle Berry, Lucille Bliss, Terry Bradshaw
446,Paul Bates, Eddie Murphy, Garcelle Beauvais, Feather
447,Yun-Fat Chow, Michelle Yeoh, Ziyi Zhang, Chen Chang
448,Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley, Max von Sydow
449,Anna Kendrick, Daniel Huttlestone, James Corden, Emily Blunt
450,Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers
451,Amy Adams, Patrick Dempsey, James Marsden, Timothy Spall
452,Cate Blanchett, Brad Pitt, Julia Ormond, Faune Chambers Watkins
453,Dwayne Johnson, Kevin Hart, Amy Ryan, Danielle Nicolet
454,Will Ferrell, Steve Carell, Paul Rudd, David Koechner
455,Reese Witherspoon, Josh Lucas, Patrick Dempsey, Candice Bergen
456,Jim Carrey, Jeff Daniels, Lauren Holly, Mike Starr
457,Paul Walker, Tyrese Gibson, Eva Mendes, Cole Hauser
458,Julia Roberts, Dermot Mulroney, Cameron Diaz, Rupert Everett
459,Joel Courtney, Jessica Tuck, Joel McKinnon Miller, Ryan Lee
460,Pierce Brosnan, Sophie Marceau, Robert Carlyle, Denise Richards
461,Burt Reynolds, Sally Field, Jerry Reed, Mike Henry
462,Tom Hanks, Ross Malinger, Rita Wilson, Victor Garber
463,Scarlett Johansson, Morgan Freeman, Min-sik Choi, Amr Waked
464,Alexander Skarsgërd, Rory J. Saper, Christian Stevens, Christoph Waltz
465,Jerry Seinfeld, Ren_e Zellweger, Matthew Broderick, Patrick Warburton
466,Noomi Rapace, Michael Fassbender, Charlize Theron, Idris Elba
467,Denzel Washington, Ryan Reynolds, Vera Farmiga, Brendan Gleeson
468,Adam Sandler, Winona Ryder, John Turturro, Allen Covert
469,Jim Carrey, Laura Linney, Noah Emmerich, Natascha McElhone
470,Julia Roberts, David Brisbin, Dawn Didawick, Albert Finney
471,Brad Pitt, Catherine Zeta-Jones, George Clooney, Ed Kross
472,Christian Bale, Sam Worthington, Moon Bloodgood, Helena Bonham Carter
473,Cameron Diaz, Drew Barrymore, Lucy Liu, Bill Murray
474,Pierce Brosnan, Jonathan Pryce, Michelle Yeoh, Teri Hatcher
475,Mark Wahlberg, Taylor Kitsch, Emile Hirsch, Ben Foster
476,Tom Hanks, Aaron Eckhart, Valerie Mahaffey, Delphi Harrington
477,Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers
478,Rachel McAdams, Channing Tatum, Jessica Lange, Sam Neill
479,Suraj Sharma, Irrfan Khan, Ayush Tandon, Gautam Belur
480,Shailene Woodley, Ansel Elgort, Nat Wolff, Laura Dern
481,Bill Hader, Anna Faris, James Caan, Andy Samberg
482,Meryl Streep, Anne Hathaway, Emily Blunt, Stanley Tucci
483,Jack Nicholson, Diane Keaton, Keanu Reeves, Frances McDormand
484,Benicio Del Toro, Jacob Vargas, Andrew Chavez, Michael Saucedo
485,Robin Williams, Gene Hackman, Nathan Lane, Dianne Wiest
486,Billy Crystal, Daniel Stern, Bruno Kirby, Patricia Wettig
487,Robin Williams, Forest Whitaker, Tung Thanh Tran, Chintara Sukapatana
488,Johnny Depp, Isla Fisher, Abigail Breslin, Ned Beatty
489,Eddie Murphy, Janet Jackson, Larry Miller, John Ales
490,Jeffrey Wright, Frances McDormand, Maleah Nipay-Padilla, Ryan Teeple
491,Dwayne Johnson, Jonathan Pryce, Byung-hun Lee, Elodie Yung
492,Harrison Ford, Willem Dafoe, Anne Archer, Joaquim de Almeida
493,Sean Connery, Alec Baldwin, Scott Glenn, Sam Neill
494,Kevin Costner, Whitney Houston, Gary Kemp, Bill Cobbs
495,Mike Myers, Dana Carvey, Rob Lowe, Tia Carrere
496,Matt Damon, Franka Potente, Chris Cooper, Clive Owen
497,Jonah Hill, Michael Cera, Christopher Mintz-Plasse, Bill Hader
498,Keanu Reeves, Dennis Hopper, Sandra Bullock, Joe Morton
499,Adam Sandler, Drew Barrymore, Rob Schneider, Sean Astin
