rank,actor1,actor2,actor3,actor4
87,Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson
88,Ray Anthony, Christine Anu, Andy Arness, Alima Ashton-Sheibu
89,Taylor Lautner, Gil Birmingham, Billy Burke, Sarah Clarke
90,Robert De Niro, Ben Stiller, Dustin Hoffman, Barbra Streisand
91,Bradley Cooper, Ed Helms, Zach Galifianakis, Justin Bartha
92,Sandra Bullock, George Clooney, Ed Harris, Orto Ignatiussen
93,Matthew McConaughey, Reese Witherspoon, Seth MacFarlane, Scarlett Johansson
94,Billy Crystal, John Goodman, Steve Buscemi, Helen Mirren
95,Mike Myers, Eddie Murphy, Cameron Diaz, John Lithgow
96,Steve Carell, Kristen Wiig, Trey Parker, Miranda Cosgrove
97,Andrew Garfield, Emma Stone, Rhys Ifans, Denis Leary
98,Daniel Radcliffe, Rupert Grint, Emma Watson, Richard Griffiths
99,Craig T. Nelson, Holly Hunter, Samuel L. Jackson, Jason Lee
100,Jim Carrey, Taylor Momsen, Kelley, Jeffrey Tambor
101,Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary
102,Chris Evans, Samuel L. Jackson, Scarlett Johansson, Robert Redford
103,Ian McKellen, Martin Freeman, Richard Armitage, Ken Stott
104,Will Arnett, Elizabeth Banks, Craig Berry, Alison Brie
105,Chris Pine, Zachary Quinto, Leonard Nimoy, Eric Bana
106,Will Smith, Alice Braga, Charlie Tahan, Salli Richardson-Whitfield
107,Sandra Bullock, Tim McGraw, Quinton Aaron, Jae Head
108,Ian McKellen, Martin Freeman, Richard Armitage, Ken Stott
109,Bradley Cooper, Ed Helms, Zach Galifianakis, Justin Bartha
110,Steve Carell, Jason Segel, Russell Brand, Julie Andrews
111,Michael Keaton, Jack Nicholson, Kim Basinger, Robert Wuhl
112,Ben Stiller, Carla Gugino, Dick Van Dyke, Mickey Rooney
113,Tommy Lee Jones, Will Smith, Linda Fiorentino, Vincent D'Onofrio
114,Daniel Radcliffe, Richard Griffiths, Pam Ferris, Fiona Shaw
115,Auli'i Cravalho, Dwayne Johnson, Rachel House, Temuera Morrison
116,Harrison Ford, Karen Allen, Paul Freeman, Ronald Lacey
117,Tom Hanks, Tim Allen, Joan Cusack, Kelsey Grammer
118,Mark Wahlberg, Stanley Tucci, Kelsey Grammer, Nicola Peltz
119,Owen Wilson, Paul Newman, Bonnie Hunt, Larry the Cable Guy
120,Jim Carrey, Morgan Freeman, Jennifer Aniston, Philip Baker Hall
121,Bill Murray, Dan Aykroyd, Sigourney Weaver, Harold Ramis
122,Helen Hunt, Bill Paxton, Cary Elwes, Jami Gertz
123,Nia Vardalos, Michael Constantine, Christina Eleusiniotis, Kaylee Vieira
124,Angelina Jolie, Elle Fanning, Sharlto Copley, Lesley Manville
125,Johnny Depp, Pen_lope Cruz, Geoffrey Rush, Ian McShane
126,Mike Myers, Eddie Murphy, Cameron Diaz, Antonio Banderas
127,Vin Diesel, Paul Walker, Dwayne Johnson, Jordana Brewster
128,Kelly Macdonald, Billy Connolly, Emma Thompson, Julie Walters
129,James Franco, Mila Kunis, Rachel Weisz, Michelle Williams
130,Eddie Murphy, Judge Reinhold, John Ashton, Lisa Eilbacher
131,Hugh Jackman, Halle Berry, Ian McKellen, Patrick Stewart
132,Tom Cruise, Dakota Fanning, Miranda Otto, Justin Chatwin
133,Eddie Redmayne, Sam Redford, Scott Goldman, Tim Bentinck
134,Hugh Jackman, James McAvoy, Michael Fassbender, Jennifer Lawrence
135,Tom Hanks, Paul Sanchez, Lari White, Leonid Citer
136,Ellen Burstyn, Max von Sydow, Lee J. Cobb, Kitty Winn
137,Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams, Benedict Wong
138,Jeff Goldblum, Julianne Moore, Pete Postlethwaite, Arliss Howard
139,Ben Affleck, Henry Cavill, Amy Adams, Gal Gadot
140,J.J. Abrams, Simon Pegg, Chris Pine, Zachary Quinto
141,Matt Damon, Jessica Chastain, Kristen Wiig, Jeff Daniels
142,Mel Gibson, Joaquin Phoenix, Rory Culkin, Abigail Breslin
143,Will Smith, Charlize Theron, Jason Bateman, Jae Head
144,Matt Damon, Julia Stiles, David Strathairn, Scott Glenn
145,Hugh Jackman, Patrick Stewart, Dafne Keen, Boyd Holbrook
146,Jackie Chan, Chris Tucker, John Lone, Ziyi Zhang
147,Vin Diesel, Jason Statham, Dwayne Johnson, Michelle Rodriguez
148,Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard
149,Scott Adsit, Ryan Potter, Daniel Henney, T.J. Miller
150,Nicolas Cage, Justin Bartha, Diane Kruger, Jon Voight
151,Zachary Levi, David Cross, Jason Lee, Justin Long
152,Robin Williams, Sally Field, Pierce Brosnan, Harvey Fierstein
153,Robby Benson, Jesse Corti, Rex Everhart, Angela Lansbury
154,Mark Wahlberg, Mila Kunis, Seth MacFarlane, Joel McHale
155,Naomi Watts, Jack Black, Adrien Brody, Thomas Kretschmann
156,Patrick Swayze, Demi Moore, Whoopi Goldberg, Tony Goldwyn
157,Jay Baruchel, Gerard Butler, Craig Ferguson, America Ferrera
158,Tom Hanks, Audrey Tautou, Ian McKellen, Jean Reno
159,Scott Weinger, Robin Williams, Linda Larkin, Jonathan Freeman
160,Jason Lee, David Cross, Cameron Richardson, Jane Lynch
161,Tom Hanks, Tom Sizemore, Edward Burns, Barry Pepper
162,Ben Stiller, Chris Rock, David Schwimmer, Jada Pinkett Smith
163,Jack Black, Dustin Hoffman, Angelina Jolie, Ian McShane
164,Tom Cruise, Dougray Scott, Thandie Newton, Ving Rhames
165,Patrick Stewart, Hugh Jackman, Ian McKellen, Halle Berry
166,Danny DeVito, Ed Helms, Zac Efron, Taylor Swift
167,Mike Myers, Beyonc_, Seth Green, Michael York
168,Gerard Butler, Lena Headey, Dominic West, David Wenham
169,Michael J. Fox, Christopher Lloyd, Lea Thompson, Crispin Glover
170,Vin Diesel, Paul Walker, Jordana Brewster, Tyrese Gibson
171,Anthony Gonzalez, Gael GarcÍa Bernal, Benjamin Bratt, Alanna Ubach
172,Tom Cruise, Paula Patton, Simon Pegg, Jeremy Renner
173,Owen Wilson, Vince Vaughn, Christopher Walken, Rachel McAdams
174,Robert Downey Jr., Jude Law, Rachel McAdams, Mark Strong
175,Andy Serkis, Jason Clarke, Gary Oldman, Keri Russell
176,Christian Bale, Michael Caine, Liam Neeson, Katie Holmes
177,Johnny Depp, Freddie Highmore, David Kelly, Helena Bonham Carter
178,Patton Oswalt, Ian Holm, Lou Romano, Brian Dennehy
179,Chris Hemsworth, Natalie Portman, Tom Hiddleston, Anthony Hopkins
180,Mike Myers, Heather Graham, Michael York, Robert Wagner
181,Bobby Baker, Michael Bartnett, Jenny Larson, Mike Maclaggan
182,Andrew Garfield, Emma Stone, Jamie Foxx, Dane DeHaan
183,Brad Pitt, Mireille Enos, Daniella Kertesz, James Badge Dale
184,Brendan Fraser, Rachel Weisz, John Hannah, Arnold Vosloo
185,Bruce Willis, Billy Bob Thornton, Ben Affleck, Liv Tyler
186,Cate Blanchett, Lily James, Richard Madden, Helena Bonham Carter
187,Mandy Moore, Zachary Levi, Donna Murphy, Ron Perlman
188,Aaron Taylor-Johnson, CJ Adams, Ken Watanabe, Bryan Cranston
189,Brandon Routh, Kate Bosworth, Kevin Spacey, James Marsden
190,Daniel Craig, Christoph Waltz, L_a Seydoux, Ralph Fiennes
191,Thomas Mitchell, Barbara O'Neil, Vivien Leigh, Evelyn Keyes
192,Ben Affleck, Josh Hartnett, Kate Beckinsale, William Lee Scott
193,Reese Witherspoon, Seth Rogen, Hugh Laurie, Will Arnett
194,Carlos Alazraqui, Lombardo Boyar, Jeffrey Garcia, Johnny A. Sanchez
195,Harrison Ford, Sean Connery, Denholm Elliott, Alison Doody
196,Eunice Cho, Karen Disher, Harrison Fahn, Maile Flanagan
197,Ray Romano, John Leguizamo, Denis Leary, Seann William Scott
198,Tom Cruise, Jeremy Renner, Simon Pegg, Rebecca Ferguson
199,Ben Stiller, Chris Rock, David Schwimmer, Jada Pinkett Smith
200,Kristen Stewart, Sarah Clarke, Matt Bushell, Billy Burke
201,Tom Hanks, Tim Allen, Don Rickles, Jim Varney
202,Jonah Hill, Channing Tatum, Peter Stormare, Wyatt Russell
203,Larry the Cable Guy, Owen Wilson, Michael Caine, Emily Mortimer
204,Megan Fox, Will Arnett, William Fichtner, Alan Ritchson
205,Tommy Lee Jones, Will Smith, Rip Torn, Lara Flynn Boyle
206,John C. Reilly, Sarah Silverman, Jack McBrayer, Jane Lynch
207,John Travolta, Olivia Newton-John, Stockard Channing, Jeff Conaway
208,Fionn Whitehead, Damien Bonnard, Aneurin Barnard, Lee Armstrong
209,Ellen Burstyn, Matthew McConaughey, Mackenzie Foy, John Lithgow
210,Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed
211,Nicolas Cage, Emma Stone, Ryan Reynolds, Catherine Keener
212,Robert Downey Jr., Jude Law, Noomi Rapace, Rachel McAdams
213,Dennis Quaid, Jake Gyllenhaal, Emmy Rossum, Dash Mihok
214,Tom Hanks, Leslie Zemeckis, Eddie Deezen, Nona Gaye
215,Brad Pitt, Angelina Jolie, Vince Vaughn, Adam Brody
216,Roy Atwell, Stuart Buchanan, Adriana Caselotti, Eddie Collins
217,Anna Kendrick, Rebel Wilson, Hailee Steinfeld, Brittany Snow
