rank,title,studio,box_office,year
239,MIB 3,Sony,179020854,2012
240,Pretty Woman,BV,178406268,1990
241,Home&y=2015,Fox,177397510,2015
242,Night at the Museum: Battle of the Smithsonian,Fox,177243721,2009
243,Tootsie,Col.,177200000,1982
244,How to Train Your Dragon 2,Fox,177002924,2014
245,Rise of the Planet of the Apes,Fox,176760185,2011
246,Captain America: The First Avenger,Par.,176654505,2011
247,The Karate Kid,Sony,176591618,2010
248,There's Something About Mary,Fox,176484651,1998
249,Ice Age,Fox,176387405,2002
250,The Bourne Supremacy,Uni.,176241941,2004
251,Get Out,Uni.,176040665,2017
252,The LEGO Batman Movie,WB,175750384,2017
253,The Boss Baby,Fox,175003033,2017
254,Crocodile Dundee,Par.,174803506,1986
255,Apollo 13,Uni.,173837933,1995
256,Home Alone 2: Lost in New York,Fox,173585516,1992
257,Elf,NL,173398518,2003
258,National Treasure,BV,173008894,2004
259,Air Force One,Sony,172956409,1997
260,Rain Man,MGM,172825435,1988
261,Pirates of the Caribbean: Dead Men Tell No Tales,BV,172558876,2017
262,Tron Legacy,BV,172062763,2010
263,The Greatest Showman,Fox,171629190,2017
264,The Matrix,WB,171479930,1999
265,True Grit,Par.,171243005,2010
266,Tarzan,BV,171091819,1999
267,A Beautiful Mind,Uni.,170742341,2001
268,Chicago,Mira.,170687518,2002
269,The Help,BV,169708112,2011
270,Hotel Transylvania 2,Sony,169700110,2015
271,Hidden Figures,Fox,169607287,2016
272,Bridesmaids,Uni.,169106725,2011
273,Quantum of Solace,Sony,168368427,2008
274,Wild Hogs,BV,168273550,2007
275,Kong: Skull Island,WB,168052812,2017
276,Three Men and a Baby,BV,167780960,1987
277,Gone Girl,Fox,167767189,2014
278,Casino Royale,Sony,167445960,2006
279,Meet the Parents,Uni.,166244045,2000
280,Fifty Shades of Grey,Uni.,166167230,2015
281,2012,Sony,166112167,2009
282,Robin Hood: Prince of Thieves,WB,165493908,1991
283,Kung Fu Panda 2,P/DW,165249063,2011
284,Hannibal,MGM,165092268,2001
285,Catch Me If You Can,DW,164615351,2002
286,The Proposal,BV,163958031,2009
287,The Pursuit of Happyness,Sony,163566459,2006
288,Big Daddy,Sony,163479795,1999
289,Clash of the Titans&y=2010,WB,163214888,2010
290,The SpongeBob Movie: Sponge Out of Water,Par.,162994032,2015
291,Batman Returns,WB,162831698,1992
292,Django Unchained,Wein.,162805434,2012
293,A Bug's Life,BV,162798565,1998
294,Jason Bourne,Uni.,162434410,2016
295,Grown Ups,Sony,162001186,2010
296,The Waterboy,BV,161491646,1998
297,Ice Age: Continental Drift,Fox,161321843,2012
298,Straight Outta Compton,Uni.,161197785,2015
299,Die Another Day,MGM,160942139,2002
300,Shark Tale,DW,160861908,2004
301,The Heat,Fox,159582188,2013
302,Star Trek Beyond,Par.,158848340,2016
303,The Sound of Music,Fox,158671368,1965
304,The Firm,Par.,158348367,1993
305,The Longest Yard,Par.,158119460,2005
306,X-Men,Fox,157299717,2000
307,Scary Movie,Mira.,157019771,2000
308,Fatal Attraction,Par.,156645693,1987
309,Who Framed Roger Rabbit,BV,156452370,1988
310,The Sting,Uni.,156000000,1973
311,What Lies Beneath,DW,155464351,2000
312,X-Men: Apocalypse,Fox,155442489,2016
313,The Mummy,Uni.,155385488,1999
314,Snow White and the Huntsman,Uni.,155332381,2012
315,San Andreas,WB (NL),155190832,2015
316,Fast and Furious,Uni.,155064265,2009
317,Over the Hedge,P/DW,155019340,2006
318,Fantastic Four&y=2015,Fox,154696080,2005
319,Horton Hears a Who!,Fox,154529439,2008
320,Mad Max: Fury Road,WB,154058340,2015
321,Jerry Maguire,Sony,153952592,1996
322,Trolls,Fox,153707064,2016
323,Beverly Hills Cop II,Par.,153665036,1987
324,Scooby-Doo,WB,153294164,2002
325,Gremlins,WB,153083102,1984
326,Cars 3,BV,152901115,2017
327,Sex and the City,WB (NL),152647258,2008
328,Runaway Bride,Par.,152257509,1999
329,La La Land,LG/S,151101803,2016
330,Divergent,LG/S,150947895,2014
331,Rambo: First Blood Part II,TriS,150415432,1985
332,We're the Millers,WB (NL),150394119,2013
333,Terminator 3: Rise of the Machines,WB,150371112,2003
334,Daddy's Home,Par.,150357137,2015
